BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single
Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single
Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced
Travel_Rarely,Sales,Life Sciences,Female,Manager,Married
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced
Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single
Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
Travel_Rarely,Research & Development,Other,Female,Manager,Divorced
Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married
Travel_Rarely,Sales,Marketing,Female,Manager,Single
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single
Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single
Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced
Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married
Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single
Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single
Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married
Non-Travel,Sales,Marketing,Male,Sales Executive,Single
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single
Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married
Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single
Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single
Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced
Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced
