Attrition,Age,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender
1,41,1102,Sales,1,2,2,Female,94,3,2,Sales Executive,4,5993,19479,8,1,11,3,80,0,8,0,1,6,4,0,5,Female
0,49,279,Research & Development,8,1,3,Male,61,2,2,Research Scientist,2,5130,24907,1,0,23,4,80,1,10,3,3,10,7,1,7,Male
1,37,1373,Research & Development,2,2,4,Male,92,2,1,Laboratory Technician,3,2090,2396,6,1,15,3,80,0,7,3,3,0,0,0,0,Male
0,33,1392,Research & Development,3,4,4,Female,56,3,1,Research Scientist,3,2909,23159,1,1,11,3,80,0,8,3,3,8,7,3,0,Female
0,27,591,Research & Development,2,1,1,Male,40,3,1,Laboratory Technician,2,3468,16632,9,0,12,3,80,1,6,3,3,2,2,2,2,Male
0,32,1005,Research & Development,2,2,4,Male,79,3,1,Laboratory Technician,4,3068,11864,0,0,13,3,80,0,8,2,2,7,7,3,6,Male
0,59,1324,Research & Development,3,3,3,Female,81,4,1,Laboratory Technician,1,2670,9964,4,1,20,4,80,3,12,3,2,1,0,0,0,Female
0,30,1358,Research & Development,24,1,4,Male,67,3,1,Laboratory Technician,3,2693,13335,1,0,22,4,80,1,1,2,3,1,0,0,0,Male
0,38,216,Research & Development,23,3,4,Male,44,2,3,Manufacturing Director,3,9526,8787,0,0,21,4,80,0,10,2,3,9,7,1,8,Male
0,36,1299,Research & Development,27,3,3,Male,94,3,2,Healthcare Representative,3,5237,16577,6,0,13,3,80,2,17,3,2,7,7,7,7,Male
0,35,809,Research & Development,16,3,1,Male,84,4,1,Laboratory Technician,2,2426,16479,0,0,13,3,80,1,6,5,3,5,4,0,3,Male
0,29,153,Research & Development,15,2,4,Female,49,2,2,Laboratory Technician,3,4193,12682,0,1,12,3,80,0,10,3,3,9,5,0,8,Female
0,31,670,Research & Development,26,1,1,Male,31,3,1,Research Scientist,3,2911,15170,1,0,17,3,80,1,5,1,2,5,2,4,3,Male
0,34,1346,Research & Development,19,2,2,Male,93,3,1,Laboratory Technician,4,2661,8758,0,0,11,3,80,1,3,2,3,2,2,1,2,Male
1,28,103,Research & Development,24,3,3,Male,50,2,1,Laboratory Technician,3,2028,12947,5,1,14,3,80,0,6,4,3,4,2,0,3,Male
0,29,1389,Research & Development,21,4,2,Female,51,4,3,Manufacturing Director,1,9980,10195,1,0,11,3,80,1,10,1,3,10,9,8,8,Female
0,32,334,Research & Development,5,2,1,Male,80,4,1,Research Scientist,2,3298,15053,0,1,12,3,80,2,7,5,2,6,2,0,5,Male
0,22,1123,Research & Development,16,2,4,Male,96,4,1,Laboratory Technician,4,2935,7324,1,1,13,3,80,2,1,2,2,1,0,0,0,Male
0,53,1219,Sales,2,4,1,Female,78,2,4,Manager,4,15427,22021,2,0,16,3,80,0,31,3,3,25,8,3,7,Female
0,38,371,Research & Development,2,3,4,Male,45,3,1,Research Scientist,4,3944,4306,5,1,11,3,80,0,6,3,3,3,2,1,2,Male
0,24,673,Research & Development,11,2,1,Female,96,4,2,Manufacturing Director,3,4011,8232,0,0,18,3,80,1,5,5,2,4,2,1,3,Female
1,36,1218,Sales,9,4,3,Male,82,2,1,Sales Representative,1,3407,6986,7,0,23,4,80,0,10,4,3,5,3,0,3,Male
0,34,419,Research & Development,7,4,1,Female,53,3,3,Research Director,2,11994,21293,0,0,11,3,80,0,13,4,3,12,6,2,11,Female
0,21,391,Research & Development,15,2,3,Male,96,3,1,Research Scientist,4,1232,19281,1,0,14,3,80,0,0,6,3,0,0,0,0,Male
1,34,699,Research & Development,6,1,2,Male,83,3,1,Research Scientist,1,2960,17102,2,0,11,3,80,0,8,2,3,4,2,1,3,Male
0,53,1282,Research & Development,5,3,3,Female,58,3,5,Manager,3,19094,10735,4,0,11,3,80,1,26,3,2,14,13,4,8,Female
1,32,1125,Research & Development,16,1,2,Female,72,1,1,Research Scientist,1,3919,4681,1,1,22,4,80,0,10,5,3,10,2,6,7,Female
0,42,691,Sales,8,4,3,Male,48,3,2,Sales Executive,2,6825,21173,0,0,11,3,80,1,10,2,3,9,7,4,2,Male
0,44,477,Research & Development,7,4,1,Female,42,2,3,Healthcare Representative,4,10248,2094,3,0,14,3,80,1,24,4,3,22,6,5,17,Female
0,46,705,Sales,2,4,2,Female,83,3,5,Manager,1,18947,22822,3,0,12,3,80,0,22,2,2,2,2,2,1,Female
0,33,924,Research & Development,2,3,3,Male,78,3,1,Laboratory Technician,4,2496,6670,4,0,11,3,80,0,7,3,3,1,1,0,0,Male
0,44,1459,Research & Development,10,4,4,Male,41,3,2,Healthcare Representative,4,6465,19121,2,1,13,3,80,0,9,5,4,4,2,1,3,Male
0,30,125,Research & Development,9,2,4,Male,83,2,1,Laboratory Technician,3,2206,16117,1,0,13,3,80,0,10,5,3,10,0,1,8,Male
1,39,895,Sales,5,3,4,Male,56,3,2,Sales Representative,4,2086,3335,3,0,14,3,80,1,19,6,4,1,0,0,0,Male
1,24,813,Research & Development,1,3,2,Male,61,3,1,Research Scientist,4,2293,3020,2,1,16,3,80,1,6,2,2,2,0,2,0,Male
0,43,1273,Research & Development,2,2,4,Female,72,4,1,Research Scientist,3,2645,21923,1,0,12,3,80,2,6,3,2,5,3,1,4,Female
1,50,869,Sales,3,2,1,Male,86,2,1,Sales Representative,3,2683,3810,1,1,14,3,80,0,3,2,3,3,2,0,2,Male
0,35,890,Sales,2,3,4,Female,97,3,1,Sales Representative,4,2014,9687,1,0,13,3,80,0,2,3,3,2,2,2,2,Female
0,36,852,Research & Development,5,4,2,Female,82,2,1,Research Scientist,1,3419,13072,9,1,14,3,80,1,6,3,4,1,1,0,0,Female
0,33,1141,Sales,1,3,3,Female,42,4,2,Sales Executive,1,5376,3193,2,0,19,3,80,2,10,3,3,5,3,1,3,Female
0,35,464,Research & Development,4,2,3,Male,75,3,1,Laboratory Technician,4,1951,10910,1,0,12,3,80,1,1,3,3,1,0,0,0,Male
0,27,1240,Research & Development,2,4,4,Female,33,3,1,Laboratory Technician,1,2341,19715,1,0,13,3,80,1,1,6,3,1,0,0,0,Female
1,26,1357,Research & Development,25,3,1,Male,48,1,1,Laboratory Technician,3,2293,10558,1,0,12,3,80,0,1,2,2,1,0,0,1,Male
0,27,994,Sales,8,3,4,Male,37,3,3,Sales Executive,3,8726,2975,1,0,15,3,80,0,9,0,3,9,8,1,7,Male
0,30,721,Research & Development,1,2,3,Female,58,3,2,Laboratory Technician,4,4011,10781,1,0,23,4,80,0,12,2,3,12,8,3,7,Female
1,41,1360,Research & Development,12,3,2,Female,49,3,5,Research Director,3,19545,16280,1,0,12,3,80,0,23,0,3,22,15,15,8,Female
0,34,1065,Sales,23,4,2,Male,72,3,2,Sales Executive,3,4568,10034,0,0,20,4,80,0,10,2,3,9,5,8,7,Male
0,37,408,Research & Development,19,2,2,Male,73,3,1,Research Scientist,2,3022,10227,4,0,21,4,80,0,8,1,3,1,0,0,0,Male
0,46,1211,Sales,5,4,1,Male,98,3,2,Sales Executive,4,5772,20445,4,1,21,4,80,0,14,4,3,9,6,0,8,Male
0,35,1229,Research & Development,8,1,4,Male,36,4,1,Laboratory Technician,4,2269,4892,1,0,19,3,80,0,1,2,3,1,0,0,1,Male
1,48,626,Research & Development,1,2,1,Male,98,2,3,Laboratory Technician,3,5381,19294,9,1,13,3,80,0,23,2,3,1,0,0,0,Male
1,28,1434,Research & Development,5,4,3,Male,50,3,1,Laboratory Technician,3,3441,11179,1,1,13,3,80,0,2,3,2,2,2,2,2,Male
0,44,1488,Sales,1,5,2,Female,75,3,2,Sales Executive,1,5454,4009,5,1,21,4,80,1,9,2,2,4,3,1,3,Female
0,35,1097,Research & Development,11,2,3,Male,79,2,3,Healthcare Representative,1,9884,8302,2,1,13,3,80,1,10,3,3,4,0,2,3,Male
0,26,1443,Sales,23,3,3,Female,47,2,2,Sales Executive,4,4157,21436,7,1,19,3,80,1,5,2,2,2,2,0,0,Female
0,33,515,Research & Development,1,2,1,Female,98,3,3,Research Director,4,13458,15146,1,1,12,3,80,0,15,1,3,15,14,8,12,Female
0,35,853,Sales,18,5,2,Male,71,3,3,Sales Executive,1,9069,11031,1,0,22,4,80,1,9,3,2,9,8,1,8,Male
0,35,1142,Research & Development,23,4,3,Female,30,3,1,Laboratory Technician,1,4014,16002,3,1,15,3,80,1,4,3,3,2,2,2,2,Female
0,31,655,Research & Development,7,4,4,Male,48,3,2,Laboratory Technician,4,5915,9528,3,0,22,4,80,1,10,3,2,7,7,1,7,Male
0,37,1115,Research & Development,1,4,1,Male,51,2,2,Manufacturing Director,3,5993,2689,1,0,18,3,80,1,7,2,4,7,5,0,7,Male
0,32,427,Research & Development,1,3,1,Male,33,3,2,Manufacturing Director,4,6162,10877,1,1,22,4,80,1,9,3,3,9,8,7,8,Male
0,38,653,Research & Development,29,5,4,Female,50,3,2,Laboratory Technician,4,2406,5456,1,0,11,3,80,0,10,2,3,10,3,9,9,Female
0,50,989,Research & Development,7,2,2,Female,43,2,5,Research Director,3,18740,16701,5,1,12,3,80,1,29,2,2,27,3,13,8,Female
0,59,1435,Sales,25,3,1,Female,99,3,3,Sales Executive,1,7637,2354,7,0,11,3,80,0,28,3,2,21,16,7,9,Female
0,36,1223,Research & Development,8,3,3,Female,59,3,3,Healthcare Representative,3,10096,8202,1,0,13,3,80,3,17,2,3,17,14,12,8,Female
0,55,836,Research & Development,8,3,4,Female,33,3,4,Manager,3,14756,19730,2,1,14,3,80,3,21,2,3,5,0,0,2,Female
0,36,1195,Research & Development,11,3,2,Male,95,2,2,Manufacturing Director,2,6499,22656,1,0,13,3,80,0,6,3,3,6,5,0,3,Male
0,45,1339,Research & Development,7,3,2,Male,59,3,3,Research Scientist,1,9724,18787,2,0,17,3,80,1,25,2,3,1,0,0,0,Male
0,35,664,Research & Development,1,3,2,Male,79,3,1,Research Scientist,1,2194,5868,4,0,13,3,80,1,5,2,2,3,2,1,2,Male
1,36,318,Research & Development,9,3,4,Male,79,2,1,Research Scientist,3,3388,21777,0,1,17,3,80,1,2,0,2,1,0,0,0,Male
0,59,1225,Sales,1,1,1,Female,57,2,2,Sales Executive,3,5473,24668,7,0,11,3,80,0,20,2,2,4,3,1,3,Female
0,29,1328,Research & Development,2,3,3,Male,76,3,1,Research Scientist,2,2703,4956,0,0,23,4,80,1,6,3,3,5,4,0,4,Male
0,31,1082,Research & Development,1,4,3,Male,87,3,1,Research Scientist,2,2501,18775,1,0,17,3,80,0,1,4,3,1,1,1,0,Male
0,32,548,Research & Development,1,3,2,Male,66,3,2,Research Scientist,2,6220,7346,1,0,17,3,80,2,10,3,3,10,4,0,9,Male
0,36,132,Research & Development,6,3,2,Female,55,4,1,Laboratory Technician,4,3038,22002,3,0,12,3,80,0,5,3,3,1,0,0,0,Female
0,31,746,Research & Development,8,4,3,Female,61,3,2,Manufacturing Director,4,4424,20682,1,0,23,4,80,0,11,2,3,11,7,1,8,Female
0,35,776,Sales,1,4,3,Male,32,2,2,Sales Executive,1,4312,23016,0,0,14,3,80,0,16,2,3,15,13,2,8,Male
0,45,193,Research & Development,6,4,4,Male,52,3,3,Research Director,1,13245,15067,4,1,14,3,80,0,17,3,4,0,0,0,0,Male
0,37,397,Research & Development,7,4,1,Male,30,3,3,Research Director,3,13664,25258,4,0,13,3,80,0,16,3,4,5,2,0,2,Male
0,46,945,Human Resources,5,2,2,Male,80,3,2,Human Resources,2,5021,10425,8,1,22,4,80,1,16,2,3,4,2,0,2,Male
0,30,852,Research & Development,1,1,4,Male,55,2,2,Laboratory Technician,4,5126,15998,1,1,12,3,80,2,10,1,2,10,8,3,0,Male
0,35,1214,Research & Development,1,3,2,Male,30,2,1,Research Scientist,3,2859,26278,1,0,18,3,80,0,6,3,3,6,4,0,4,Male
0,55,111,Sales,1,2,1,Male,70,3,3,Sales Executive,4,10239,18092,3,0,14,3,80,1,24,4,3,1,0,1,0,Male
